feature,importance
numeric__Age,0.1073954995895822
numeric__MonthlyIncome,0.10344839569519668
numeric__DurationOfPitch,0.10113021470594728
numeric__Passport,0.09284106928220166
numeric__NumberOfTrips,0.056818249185862146
numeric__PitchSatisfactionScore,0.056106185508392595
numeric__NumberOfFollowups,0.04726283429304606
numeric__PreferredPropertyStar,0.041831397912040894
numeric__CityTier,0.04053304322947084
categorical__MaritalStatus_Single,0.03366645410113725
categorical__ProductPitched_Basic,0.026964400297306956
numeric__NumberOfChildrenVisiting,0.026212346746956647
numeric__NumberOfPersonVisiting,0.026184569545494023
categorical__Designation_Executive,0.023189671957515846
categorical__Occupation_Small Business,0.019307970442651708
numeric__OwnCar,0.018886657228814233
categorical__Gender_Male,0.017476925261957287
categorical__Gender_Female,0.017314841031844636
categorical__Occupation_Salaried,0.01722451998952299
categorical__TypeofContact_Company Invited,0.016824780201690235
categorical__MaritalStatus_Married,0.01665596902269561
categorical__TypeofContact_Self Enquiry,0.016275864999287577
categorical__Occupation_Large Business,0.015832392978962297
categorical__Designation_Manager,0.011702607186014824
categorical__MaritalStatus_Divorced,0.011700949663639881
categorical__ProductPitched_Deluxe,0.010562891916047784
categorical__Designation_Senior Manager,0.007661974381589883
categorical__ProductPitched_Standard,0.007552643914329201
categorical__ProductPitched_Super Deluxe,0.004359791253673532
categorical__Designation_AVP,0.003954221808006616
categorical__ProductPitched_King,0.0015423370194058577
categorical__Designation_VP,0.0014548234826443408
categorical__Occupation_Free Lancer,0.0001235061670704037
